name,categories,lat,lng
Rexnord,Building,42.12790595150957,-87.91932607425122
Arttig Artistic Creations,Building,42.12913131713867,-87.9200439453125
Distingive,Building,42.1293905,-87.9202971
Prabhu Groceries,Grocery Store,42.12370709079756,-87.9362831636598
Skokie Valley Beverage,Building,42.127339,-87.921681
Waldmann Lighting Co,Building,42.126765,-87.916498
Hidden Valley,Factory,42.119314,-87.92116
LeRoy's Welding and Fabricating,,42.120007,-87.92594799999999
Brown's chicken,,42.123446,-87.937013
"Pool Technologies, Ltd.",,42.130554,-87.927818
Valspar,Office,42.117765999999996,-87.925167
PROSPECT HTS CITGO,Gas Station,42.123230270455664,-87.93707754082048
Avenues To Independence,Building,42.131716,-87.92819899999999
Mike's Barber Shop,Salon / Barbershop,42.1235161420404,-87.93645607150825
Regis Hair Salon,Salon / Barbershop,42.12047241167494,-87.93712088948773
Kelly Bradshaws House,Building,42.11566,-87.92950658333334
L-Trevino Carpet & Tile,Building,42.12453109660905,-87.93004520227056
Wheeling High School,High School,42.12645809385048,-87.9385090862503
Mexico Mufflers & Brakes,Automotive Shop,42.12397970503217,-87.93711610252765
10x,Speakeasy,42.129832,-87.928271
Northwest Mosquito Abatement,Office,42.123501,-87.920159
Blitt & Gaines P.C. Law Firm,Office,42.12780843394357,-87.91767741339788
Homewerks Worldwide,Office,42.13085,-87.921545
ab nails,Nail Salon,42.123363,-87.936231
Jaggy's House,Korean Restaurant,42.125298,-87.93387
Trusweets,Office,42.127962,-87.927542
American Building Services,Office,42.12163162231445,-87.93441009521484
Alliance Disaster Kleenup,Coworking Space,42.129850581111654,-87.92731761932373
SWANCC Office,Government Building,42.12409973144531,-87.91764068603516
Toamaki,Factory,42.126096661287455,-87.91840474263789
Fluid Managment,Office,42.122587,-87.925427
rand manufacturing,Office,42.12360704183888,-87.9315150076327
Regol-G,Factory,42.125514,-87.931177
Mark Twain School,Elementary School,42.129452721849766,-87.93132829236966
YRC,Building,42.11949,-87.916409
Jolie Images,Photography Lab,42.128241156450926,-87.92737836352084
Wheeling Masonic Temple,Professional & Other Places,42.12957,-87.9276
Freight Train,General Travel,42.12425350971867,-87.91866334603897
Sunnyside Corp.,Building,42.129721,-87.923058
Kyowa,Factory,42.12749481201172,-87.9183120727539
Prabhu,Grocery Store,42.12366096846331,-87.93667091299712
Convenience Mart,Convenience Store,42.12420477355205,-87.93641241381307
Lexington Of Wheeling,Medical Center,42.124695431542506,-87.93526559170833
Good Shepherd Lutheran Church,Church,42.12238499846226,-87.93621135785737
Agsco,Building,42.125027,-87.920372
JFH Educational Academy,School,42.11816989662473,-87.9330134890357
Nuevo Camino,Building,42.12890563078467,-87.92925522175027
Club Mid,Professional & Other Places,42.132525,-87.935794
Landings Cleaners,Laundry Service,42.123031,-87.936425
Healthcare Laundry Services,Building,42.12268121528531,-87.9261813464291
"MMF POS, a division of Block and Company",Factory,42.121109999999994,-87.92596800000001
Mark Twain Scool Wheeling Il,Elementary School,42.12304535562202,-87.91988929736193
Laystrom Hardware,Hardware Store,42.129277,-87.929413
Columbia Tool and Gauge,Building,42.120957000000004,-87.922531
F & H Photo Productions,Photography Lab,42.13211441040039,-87.9312515258789
Florina The Makeup Artist,Cosmetics Shop,42.132163,-87.93136
Elenco,Factory,42.130103931273396,-87.91990845258458
SMA Trucking Inc,Professional & Other Places,42.12219066900485,-87.92293414743177
DC Cregier Lodge #81,Building,42.129321000000004,-87.927709
Noel Transportation Inc,Building,42.12220263158602,-87.92294014613509
Resinite,Factory,42.12205506580939,-87.923102471154
Main Steel,Building,42.130126000000004,-87.926055
Tomoegawa,Factory,42.125839,-87.919821
Beacon Fastener,Building,42.130424,-87.922238
MABAS HQ,Building,42.124112288042944,-87.92366750614893
John Deere Landscapes,Hardware Store,42.12717056274414,-87.92830657958984
