city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"Manteno, Illinois – $22,826"
"Volo, Illinois – $22,791"
"Mount Zion, Illinois – $22,784"
"Mapleton, Illinois – $22,728"
"Lynwood, Illinois – $22,650"
"Secor, Illinois – $22,635"
"Richton Park, Illinois – $22,626"
"Fairview Heights, Illinois – $22,614"
"Harwood Heights, Illinois – $22,558"
"Lansing, Illinois – $22,547"
"Elmwood Park, Illinois – $22,526"
"Lakemoor, Illinois – $22,499"
"Merrionette Park, Illinois – $22,497"
"Hampton, Illinois – $22,492"
"Tonica, Illinois – $22,484"
"Bourbonnais, Illinois – $22,476"
"Downs, Illinois – $22,468"
"Elwood, Illinois – $22,442"
"Grant Park, Illinois – $22,403"
"Villa Park, Illinois – $22,354"
"Richmond, Illinois – $22,332"
"Crest Hill, Illinois – $22,317"
"Morris, Illinois – $22,256"
"Hainesville, Illinois – $22,250"
"West Peoria, Illinois – $22,247"
"Carbon Hill, Illinois – $22,228"
"Marengo, Illinois – $22,225"
"Donovan, Illinois – $22,215"
"Chester, Illinois – $22,190"
"Broadview, Illinois – $22,178"
"Hampshire, Illinois – $22,143"
"Hudson, Illinois – $22,141"
"Aurora, Illinois – $22,131"
"Chillicothe, Illinois – $22,118"
"Newark, Illinois – $22,078"
"Collinsville, Illinois – $22,048"
"Gifford, Illinois – $22,040"
"Frankfort Square, Illinois – $22,038"
"Royal, Illinois – $22,019"
"Crestwood, Illinois – $21,995"
"Mahomet, Illinois – $21,990"
"Grafton, Illinois – $21,989"
"Nashville, Illinois – $21,935"
"Maple Park, Illinois – $21,932"
"Millstadt, Illinois – $21,914"
"Glendale Heights, Illinois – $21,911"
"Coalton, Illinois – $21,901"
"Mazon, Illinois – $21,890"
"Tremont, Illinois – $21,888"
"Pistakee Highlands, Illinois – $21,852"
"Germantown, Illinois – $21,851"
"Reynolds, Illinois – $21,804"
"Hillsdale, Illinois – $21,772"
"El Paso, Illinois – $21,730"
"Ladd, Illinois – $21,696"
"Manhattan, Illinois – $21,666"
"Hillside, Illinois – $21,638"
"Panama, Illinois – $21,634"
"Cantrall, Illinois – $21,610"
"Pawnee, Illinois – $21,599"
"Round Lake, Illinois – $21,585"
"Mascoutah, Illinois – $21,569"
